Student_ID,Name,Age,Gender,Program,Study_Hours,Attendance,Previous_Score,Sleep_Hours,Internet_Access,Python,Mathematics,Statistics,Machine_Learning
S022,Omar Malik,23,Male,AI,4.4,95.3,71.6,8.8,0,85,82,84,83
S023,Sara Qureshi,24,Male,AI,1.3,85.4,79.9,5.7,0,69,72,66,70
S024,Hamza Chaudhry,22,Male,AI,4.8,76.5,69.3,5.4,1,76,72,73,73
S025,Omar Farooq,21,Female,SE,3.1,74.2,61.2,6.4,1,75,69,71,75
S026,Abdullah Noor,19,Male,CS,5.9,88.4,65.0,7.5,1,83,81,81,82
S027,Bilal Iqbal,24,Male,AI,3.1,88.8,77.6,6.9,1,76,74,76,73
S028,Noor Khan,24,Male,CS,3.0,97.9,70.0,6.2,1,76,68,76,71
S029,Iqra Raza,18,Female,AI,4.8,96.0,74.1,6.2,1,83,87,85,82
S030,Laiba Aslam,23,Male,CS,5.1,83.7,78.0,6.1,0,80,75,76,78
S031,Areeba Shah,18,Female,CS,4.7,72.6,65.5,5.9,1,73,66,71,70
S032,Bilal Qureshi,23,Male,SE,1.5,81.8,79.1,9.7,1,80,80,79,72
S033,Maryam Malik,24,Male,SE,4.8,87.2,74.5,7.4,1,85,81,79,79
S034,Saad Malik,19,Male,CS,2.4,83.0,55.2,8.1,0,61,59,65,62
S035,Sara Iqbal,21,Male,AI,4.4,79.2,87.3,6.4,1,79,85,84,86
S036,Mehwish Noor,18,Female,AI,1.9,87.5,64.0,6.8,0,70,68,70,63
S037,Noor Raza,22,Male,AI,4.7,80.0,50.1,6.1,0,67,64,69,61
S038,Omar Iqbal,25,Male,DS,2.8,78.7,57.5,4.0,1,63,63,58,64
S039,Zainab Noor,18,Female,SE,2.1,88.1,57.7,5.3,1,70,68,68,72
S040,Iqra Aslam,21,Female,SE,5.1,81.0,70.6,4.8,1,89,84,85,83
S041,Areeba Tariq,25,Female,CS,4.4,87.4,66.7,4.3,1,70,63,65,64
S042,Fatima Butt,20,Female,AI,3.1,,66.0,5.6,0,74,70,68,72
S043,Hira Shah,19,Female,SE,6.2,73.6,77.4,8.6,1,83,82,78,76
S044,Ahmed Ali,21,Male,AI,3.3,80.2,74.1,6.9,1,75,76,78,73
S045,Abdullah Butt,22,Female,AI,4.0,99.4,73.8,8.5,1,88,80,81,83
S046,Hamza Farooq,23,Male,SE,4.4,73.4,74.9,7.5,1,86,80,80,85
S047,Zara Tariq,20,Male,CS,3.1,63.8,77.4,7.9,1,79,74,73,75
S048,Saad Ali,25,Female,SE,4.7,,44.7,5.9,1,63,59,60,64
S049,Ayesha Aslam,22,Female,AI,3.2,85.3,65.6,7.6,1,81,73,78,81
S050,Hira Raza,20,Female,SE,3.4,,43.8,7.9,1,64,59,59,65
S051,Mehwish Noor,25,Male,AI,6.0,83.8,70.4,6.3,1,91,77,86,83
S052,Mehwish Khan,25,Female,CS,2.4,97.1,69.9,7.7,1,76,75,81,76
S053,Mehwish Farooq,21,Male,SE,0.5,58.3,82.5,7.7,1,75,71,74,79
S054,Abdullah Aslam,18,Female,AI,6.4,89.0,84.3,6.3,0,85,83,82,77
S055,Noor Shah,22,Female,AI,7.8,100.0,72.4,5.7,1,87,82,82,87
S056,Hassan Farooq,22,Female,AI,3.4,73.7,64.0,5.6,1,69,70,66,67
S057,Iqra Iqbal,19,Female,CS,1.1,81.2,75.8,7.1,1,73,68,74,71
S058,Talha Javed,23,Female,DS,,77.5,63.7,7.4,1,75,70,69,71
S059,Ali Raza,24,Male,SE,3.6,76.1,70.0,6.0,1,79,77,74,74
S060,Ayesha Ahmed,18,Male,SE,3.7,81.7,81.8,7.0,1,78,73,75,73
S061,Hamza Aslam,23,Male,SE,2.3,99.3,63.3,7.7,0,77,76,74,76
S062,Hira Iqbal,19,Female,AI,4.9,100.0,79.7,7.7,1,93,83,84,90
S063,Zara Javed,23,Male,CS,4.8,81.6,78.1,8.9,1,80,80,79,80
S064,Sara Farooq,21,Male,DS,1.8,100.0,58.5,8.5,1,67,68,70,67
S065,Iqra Aslam,18,Female,SE,5.0,85.4,81.7,5.8,1,87,85,82,86
S066,Iqra Siddiqui,25,Female,SE,7.1,100.0,78.4,9.0,1,90,89,82,83
S067,Ahmed Siddiqui,19,Female,SE,4.3,84.1,71.2,6.4,1,78,76,81,81
S068,Mehwish Ali,22,Female,CS,3.5,86.3,60.9,8.3,1,66,62,68,69
S069,Danish Khan,19,Female,AI,3.8,88.7,59.7,7.1,1,70,69,71,80
S070,Bilal Tariq,25,Male,DS,4.9,100.0,63.5,6.5,0,76,74,69,73
S071,Faizan Noor,23,Female,DS,1.4,93.5,76.5,4.8,1,75,76,73,75
S072,Hassan Tariq,24,Female,DS,4.2,77.9,58.5,6.8,0,67,64,65,68
S073,Faizan Butt,21,Female,AI,3.4,94.7,75.3,5.1,1,79,71,78,78
S074,Ali Noor,21,Male,AI,6.8,81.4,55.1,8.2,1,76,76,72,74
S075,Mehwish Khan,23,Female,AI,3.7,80.1,67.6,8.8,0,80,73,77,76
S076,Zara Ali,24,Female,DS,6.5,94.1,71.3,6.0,1,85,85,85,85
S077,Areeba Ali,24,Female,DS,2.3,85.3,99.3,7.4,1,87,89,77,82
S078,Hamza Aslam,18,Male,SE,4.9,87.8,53.5,6.1,1,74,71,73,70
S079,Fatima Siddiqui,23,Female,SE,4.5,85.1,87.7,6.2,1,81,80,77,81
S080,Talha Farooq,18,Female,DS,2.7,88.4,71.8,7.9,0,75,71,74,76
S081,Faizan Aslam,20,Female,DS,4.3,89.2,74.9,7.0,1,78,68,74,72
S082,Maryam Tariq,24,Male,AI,5.8,65.6,71.4,9.1,1,85,79,84,77
S083,Hamza Butt,20,Female,SE,3.5,91.7,75.3,6.4,1,78,76,81,75
S084,Zainab Raza,24,Female,DS,1.5,75.2,68.2,8.2,1,80,71,70,73
S085,Bilal Khan,21,Male,AI,4.0,70.6,87.4,7.1,0,74,78,72,72
S086,Ahmed Ahmed,19,Female,DS,2.6,84.4,64.5,8.0,1,77,70,71,71
S087,Abdullah Shah,20,Male,DS,3.5,85.8,83.6,6.5,1,90,85,84,82
S088,Omar Iqbal,22,Female,AI,3.9,78.1,62.3,6.9,0,75,70,73,71
S089,Laiba Raza,24,Male,SE,1.4,93.3,69.3,6.9,1,74,70,73,70
S090,Saad Siddiqui,22,Female,SE,1.6,71.6,57.1,6.0,1,65,65,65,63
S091,Areeba Raza,25,Female,SE,4.7,80.9,75.5,7.8,1,85,80,80,85
S092,Noor Shah,24,Female,SE,3.2,,87.3,7.8,1,85,84,79,85
S093,Noor Iqbal,24,Female,SE,0.5,84.5,69.1,7.7,1,71,67,67,69
S094,Fatima Tariq,22,Female,DS,5.2,87.8,67.6,8.8,1,84,77,80,78
S095,Ayesha Ali,20,Male,SE,4.4,74.9,56.6,8.7,1,68,63,64,67
S096,Omar Aslam,21,Male,DS,2.9,92.2,67.2,6.6,1,74,67,75,74
S097,Danish Malik,18,Female,DS,2.0,85.6,50.9,7.4,1,64,63,67,67
S098,Faizan Ahmed,20,Female,SE,5.3,66.1,59.0,6.3,0,66,65,67,65
S099,Bilal Ahmed,25,Male,DS,4.5,65.4,72.7,7.0,1,66,64,60,69
S100,Bilal Qureshi,21,Male,DS,7.6,84.9,85.8,6.3,1,95,90,88,86
S101,Bilal Chaudhry,18,Female,SE,4.6,82.8,100.0,8.9,0,98,90,95,92
S102,Noor Shah,23,Female,CS,4.6,84.0,63.0,7.4,1,76,64,69,73
S103,Hamza Ali,25,Male,CS,3.7,84.7,87.2,6.7,1,78,76,74,79
S104,Abdullah Qureshi,24,Male,DS,5.2,87.3,72.9,8.4,1,81,76,79,81
S105,Hassan Farooq,20,Male,DS,4.9,94.5,68.2,4.4,1,78,72,72,70
S106,Hassan Shah,21,Female,SE,5.9,73.9,75.2,4.6,0,74,69,76,74
S107,Abdullah Iqbal,22,Male,DS,3.2,73.3,70.7,8.0,1,79,75,77,76
S108,Laiba Ali,19,Female,CS,3.3,74.1,71.3,7.1,1,66,71,70,69
S109,Sara Ahmed,20,Male,DS,3.3,87.9,65.1,7.3,1,78,75,75,75
S110,Hamza Chaudhry,19,Male,AI,5.2,97.4,53.2,5.4,1,71,70,73,72
S111,Fatima Iqbal,25,Female,AI,6.2,80.7,51.5,7.0,1,76,71,79,76
S112,Omar Noor,23,Female,CS,3.3,60.0,77.8,9.4,1,71,70,75,77
S113,Laiba Ali,24,Female,AI,3.4,68.0,66.7,8.0,1,78,74,70,74
S114,Mehwish Javed,24,Female,AI,,76.7,62.8,7.2,1,76,71,72,74
S115,Iqra Raza,25,Female,DS,3.6,79.4,70.1,6.5,1,68,68,71,66
S116,Noor Butt,18,Female,AI,5.4,80.9,79.5,6.5,1,77,77,81,80
S117,Ali Farooq,25,Female,DS,0.6,85.4,72.2,4.4,1,62,66,63,63
S118,Noor Shah,18,Male,SE,2.8,81.9,62.1,7.3,1,69,66,70,70
S119,Hira Tariq,21,Male,AI,2.8,95.5,84.7,8.0,1,86,86,87,91
S120,Zainab Aslam,22,Female,CS,0.5,78.2,89.0,5.1,1,68,71,76,70
S121,Fatima Javed,20,Male,CS,2.6,76.4,75.9,6.2,1,82,75,76,73
S122,Ahmed Aslam,19,Female,DS,2.6,,81.7,5.6,0,70,63,67,67
S123,Hira Ahmed,19,Female,AI,3.7,69.6,84.9,5.8,1,78,81,77,82
S124,Abdullah Tariq,24,Male,SE,5.7,88.9,83.6,7.1,0,82,80,79,83
S125,Abdullah Khan,20,Female,AI,3.6,86.0,77.4,4.5,1,80,69,72,76
S126,Usman Iqbal,20,Male,DS,2.5,83.5,77.2,7.7,1,80,73,69,79
S127,Usman Malik,25,Female,CS,3.9,100.0,76.2,7.9,1,76,75,73,76
S128,Hira Raza,19,Male,CS,5.6,78.8,56.8,6.7,1,75,69,72,74
S129,Omar Ahmed,25,Male,SE,2.5,100.0,78.4,4.0,1,83,81,82,86
S130,Usman Javed,25,Female,DS,2.6,82.7,53.7,5.8,1,65,65,67,66
S131,Mehwish Raza,22,Female,SE,4.8,72.2,60.5,8.5,1,77,71,74,76
S132,Zainab Chaudhry,19,Male,SE,3.7,85.7,85.6,4.0,1,84,80,86,85
S133,Faizan Javed,19,Female,DS,5.0,74.2,80.1,6.6,1,81,77,79,78
S134,Hamza Malik,20,Female,SE,4.0,77.5,87.8,5.6,1,80,79,81,78
S135,Danish Javed,22,Male,AI,5.1,89.0,66.7,8.0,1,76,73,73,77
S136,Zainab Khan,19,Female,AI,2.4,90.6,56.2,6.2,1,74,71,73,71
S137,Fatima Qureshi,21,Female,DS,4.0,78.8,67.1,7.5,1,68,72,73,75
S138,Hamza Iqbal,18,Male,AI,3.7,94.9,71.2,7.7,1,82,77,78,77
S139,Noor Farooq,22,Female,AI,2.2,96.6,70.9,9.2,1,74,77,80,78
S140,Sara Ahmed,18,Female,CS,1.7,99.4,83.6,6.8,0,74,72,73,74
S141,Hassan Iqbal,23,Female,CS,5.0,90.3,65.7,7.5,1,79,74,75,78
S142,Omar Iqbal,18,Female,SE,3.5,98.6,74.2,5.2,1,82,80,86,82
S143,Hamza Qureshi,19,Female,CS,2.5,66.2,58.1,8.4,0,55,57,56,53
S144,Fatima Javed,19,Male,CS,3.9,81.8,75.4,6.1,0,74,75,75,74
S145,Iqra Iqbal,24,Female,AI,5.7,76.3,70.0,6.3,1,78,72,76,78
S146,Mehwish Ali,18,Male,DS,0.6,86.2,61.0,7.0,0,57,57,63,60
S147,Areeba Malik,21,Female,DS,1.8,79.3,67.2,5.1,0,74,68,69,65
S148,Iqra Siddiqui,22,Male,AI,2.6,83.3,67.8,7.3,1,79,75,70,81
S149,Zara Iqbal,22,Male,SE,,100.0,66.8,8.2,1,85,85,86,87
S150,Hassan Khan,23,Male,DS,4.4,83.3,91.3,7.4,1,83,87,76,82
S151,Bilal Butt,24,Female,DS,5.2,89.1,68.8,5.1,1,74,72,78,74
S152,Ali Chaudhry,21,Male,AI,2.3,82.7,67.1,6.9,1,76,72,72,75
S153,Iqra Raza,24,Male,AI,2.3,85.8,44.8,7.9,1,68,66,66,63
S154,Zainab Siddiqui,20,Female,CS,4.7,85.1,59.3,4.7,1,66,67,66,71
S155,Zainab Ahmed,25,Female,AI,4.1,89.5,66.8,5.7,1,76,80,71,77
S156,Hira Aslam,22,Male,AI,4.8,96.7,61.8,8.1,1,78,76,79,79
S157,Ahmed Ali,23,Female,AI,3.7,100.0,86.6,7.3,0,85,79,79,80
S158,Ayesha Aslam,25,Male,DS,4.4,88.1,68.0,7.5,1,74,72,73,75
S159,Laiba Shah,24,Male,SE,4.2,90.9,85.5,9.2,1,97,89,91,94
S160,Areeba Farooq,24,Female,DS,5.2,73.5,70.7,7.6,1,74,71,79,70
S161,Zainab Ahmed,22,Male,AI,5.2,84.1,70.4,7.8,0,76,77,78,73
S162,Danish Chaudhry,18,Female,AI,1.6,94.4,68.9,10.0,0,72,71,74,73
S163,Faizan Noor,21,Female,CS,0.6,93.7,70.0,6.7,0,67,68,68,68
S164,Ayesha Khan,19,Female,SE,5.5,87.1,90.6,6.0,0,83,83,87,85
S165,Fatima Siddiqui,25,Male,SE,5.8,,42.2,7.5,1,79,74,75,77
S166,Iqra Malik,19,Female,SE,2.5,89.9,46.0,7.5,1,67,73,62,67
S167,Zainab Butt,19,Female,SE,1.2,97.0,63.5,6.4,1,64,67,66,69
S168,Noor Farooq,19,Male,AI,4.1,87.9,70.2,5.8,1,80,75,80,78
S169,Faizan Malik,23,Male,DS,5.4,81.4,78.3,9.8,0,77,76,76,78
S170,Usman Qureshi,22,Male,DS,6.7,88.4,75.7,7.4,1,83,79,82,82
S171,Hira Ali,25,Female,DS,4.8,55.7,65.4,6.1,1,68,69,66,74
S172,Danish Siddiqui,21,Female,CS,3.4,88.8,82.2,8.1,1,79,77,82,75
S173,Saad Ali,20,Male,DS,,50.0,82.4,6.9,1,80,72,74,74
S174,Faizan Chaudhry,18,Female,SE,4.0,67.8,72.2,6.7,1,74,70,73,68
S175,Usman Raza,18,Female,CS,3.6,89.5,81.6,7.7,1,81,79,80,78
S176,Talha Khan,20,Female,DS,2.5,89.8,73.3,5.4,0,66,64,67,67
S177,Zainab Tariq,25,Male,CS,7.1,73.4,63.3,7.4,1,74,70,74,69
S178,Faizan Qureshi,22,Male,SE,6.7,77.9,78.4,9.3,0,90,87,84,89
S179,Fatima Chaudhry,25,Male,CS,5.7,98.7,71.3,7.6,1,84,84,78,83
S180,Ahmed Shah,18,Female,DS,2.6,80.2,70.0,6.5,1,80,76,76,71
S181,Zara Chaudhry,18,Female,DS,5.3,100.0,87.7,6.4,1,94,91,95,97
S182,Ayesha Chaudhry,24,Female,DS,5.0,85.0,40.6,6.5,0,60,59,61,62
S183,Ahmed Siddiqui,18,Male,AI,4.7,89.1,53.0,6.7,1,73,69,75,76
S184,Noor Malik,18,Male,DS,5.9,100.0,55.8,6.5,0,72,67,73,70
S185,Ali Farooq,21,Male,CS,5.0,86.3,65.6,8.1,1,74,70,71,74
S186,Bilal Aslam,25,Female,SE,5.1,75.0,66.9,4.9,1,73,74,70,75
S187,Maryam Malik,23,Male,AI,5.0,83.9,51.9,8.0,0,68,66,67,70
S188,Saad Ahmed,18,Female,DS,4.5,84.6,58.2,6.5,1,68,68,74,71
S189,Laiba Shah,24,Female,AI,1.3,71.4,59.7,7.5,1,68,66,68,62
S190,Maryam Ali,24,Male,AI,4.1,82.4,99.5,5.6,0,83,86,83,81
S191,Ali Chaudhry,24,Male,CS,3.2,77.6,91.6,8.6,1,87,79,83,86
S192,Areeba Noor,25,Male,DS,2.1,94.2,65.1,8.5,1,72,67,68,66
S193,Ali Ahmed,19,Female,DS,6.5,85.3,65.6,8.2,1,93,86,90,90
S194,Sara Butt,25,Female,SE,6.6,82.2,56.2,5.2,1,74,69,70,78
S195,Saad Raza,20,Male,AI,6.0,83.9,47.1,8.0,1,74,68,71,74
S196,Laiba Raza,24,Male,AI,,87.2,68.6,7.5,1,77,72,74,78
S197,Bilal Javed,22,Female,SE,6.0,91.2,58.0,5.1,1,87,76,84,81
S198,Laiba Butt,24,Male,SE,4.0,75.0,69.0,7.0,0,74,75,74,75
S199,Sara Noor,23,Male,CS,4.3,74.6,50.8,7.4,1,70,65,60,67
S200,Hassan Ali,23,Male,SE,2.4,96.0,60.9,7.7,1,67,69,70,68
S087,Abdullah Shah,20,Male,DS,3.5,85.8,83.6,6.5,1,90,85,84,82
S121,Fatima Javed,20,Male,CS,2.6,76.4,75.9,6.2,1,82,75,76,73
S023,Sara Qureshi,24,Male,AI,1.3,85.4,79.9,5.7,0,69,72,66,70
S012,Usman Chaudhry,19,Male,SE,4.4,74.2,66.4,7.7,1,75,69,77,75
